"","Factor1","Factor2","Factor3","Factor4"
"a1",-0.08,0.256,0.588,-0.026
"a2",0.059,0.165,0.641,-0.06
"a4",-0.286,0.098,0.56,-0.072
"a6",0.032,0.63,0.322,-0.023
"a7",0.005,0.601,0.272,0.026
"a8",0.137,0.608,0.271,-0.069
"a9",-0.196,0.307,0.433,-0.128
"a10",-0.099,0.368,0.345,-0.155
"a11",0.197,0.306,0.042,0.404
"a13",0.123,0.482,-0.083,0.327
"a14",-0.156,0.45,0.098,0.149
"a15",0.142,0.261,0.302,0.205
"a16",0.4,0.56,0.073,-0.099
"a17",-0.504,0.022,-0.15,0.102
"a19",0.116,0.313,0.403,0.176
"a20",-0.075,0.425,0.311,0.245
"a23",0.153,-0.269,0.495,0.419
"a24",0.21,-0.17,0.252,0.587
"a25",0.201,-0.016,0.415,0.308
"a27",-0.067,-0.045,0.472,0.037
"a28",0.101,0.223,0.534,0.129
"a29",0.034,0.111,0.572,0.011
"a30",0.105,0.058,0.478,0.081
"a31",0.226,-0.021,0.362,0.161
"a32",0.621,-0.063,0.232,-0.052
"a34",0.043,-0.014,0.41,-0.013
"a35",0.48,0.142,-0.138,-0.009
"a37",0.248,0.241,0.403,0.126
"a38",0.155,0.186,0.279,0.272
"a39",0.319,-0.146,0.155,0.402
"a41",0.356,0.22,0.272,0.126
"a42",0.385,0.237,0.289,0.117
"a43",-0.131,0.626,0.067,0.315
"a44",0.357,0.106,-0.03,0.381
"a45",-0.184,0.442,-0.025,0.408
"a46",-0.24,0.465,0.143,0.271
"a47",0.053,0.287,0.041,0.196
"a49",-0.11,0.16,-0.261,0.463
"a50",0.235,0.363,0.249,0.172
"a51",0.277,0.426,-0.107,0.311
"a52",0.204,0.247,0.113,0.374
"a53",0.065,0.07,-0.142,0.62
"a55",-0.022,0.047,0.055,0.714
"a56",0.019,0.299,0.228,0.384
"a_cosv1",0.496,-0.061,-0.142,0.185
"a_cosv2",0.381,0.11,-0.077,0.122
"a_cosv3",0.23,0.673,0.01,0.032
"a_cosv4",0.225,0.522,0.148,-0.1
"a_cosv5",0.595,0.257,-0.144,-0.098
"a_cosv7",0.25,0.086,0.186,0.267
"a_cosv8",0.49,-0.007,0.065,0.183
"a_cosv9",0.587,-0.132,0.186,0.135
"a_cosv10",0.558,0.188,-0.218,-0.017
"a_cosv11",0.582,0.1,-0.041,-0.003
"a_cosv12",0.666,-0.097,-0.016,0.013
"a_cosv13",0.591,-0.081,0.116,0.207
"a_cosv14",0.439,0.167,-0.012,0.108
"a_cosv16",0.326,0.289,-0.204,0.331
"a_cosv17",0.237,0.39,-0.069,0.17
"a_cosv18",0.471,0.332,-0.05,0.122
"a_cosv19",0.16,0.284,-0.268,0.334
